"Date","Price","Open","High","Low","Change %"
"04/15/2023","1.730","1.880","1.900","1.730","0.00%"
"04/14/2023","1.730","1.850","1.900","1.730","0.00%"
"04/13/2023","1.730","1.850","1.890","1.720","0.00%"
"04/12/2023","1.730","1.850","1.850","1.690","0.00%"
"04/11/2023","1.730","1.850","1.850","1.630","0.00%"
"04/10/2023","1.730","1.850","1.850","1.730","0.00%"
"04/09/2023","1.730","1.780","1.850","1.730","-6.49%"
"04/08/2023","1.850","1.760","1.850","1.730","0.54%"
"04/07/2023","1.840","1.850","1.850","1.730","6.36%"
"04/06/2023","1.730","1.850","1.900","1.680","-5.98%"
"04/05/2023","1.840","1.750","1.920","1.710","-1.08%"
"04/04/2023","1.860","1.750","1.950","1.750","0.00%"
"04/03/2023","1.860","1.650","1.910","1.650","12.73%"
"04/02/2023","1.650","1.830","1.870","1.650","-9.84%"
"04/01/2023","1.830","1.870","1.870","1.650","-0.54%"
"03/31/2023","1.840","1.800","1.950","1.750","5.14%"
"03/30/2023","1.750","1.780","1.920","1.690","0.00%"
"03/29/2023","1.750","1.790","1.830","1.740","0.00%"
"03/28/2023","1.750","1.740","1.790","1.670","2.34%"
"03/27/2023","1.710","1.780","1.810","1.610","-0.58%"
"03/26/2023","1.720","1.810","1.810","1.720","-3.37%"
"03/25/2023","1.780","1.780","1.780","1.780","4.09%"
"03/24/2023","1.710","1.720","1.930","1.550","0.00%"
"03/23/2023","1.710","1.570","1.950","1.570","3.64%"
"03/22/2023","1.650","1.400","1.850","1.360","21.32%"
"03/21/2023","1.360","1.380","1.710","1.340","1.49%"
"03/20/2023","1.340","1.510","1.600","1.310","-5.63%"
"03/19/2023","1.420","1.420","1.510","1.420","0.00%"
"03/18/2023","1.420","1.490","1.510","1.420","-5.96%"
"03/17/2023","1.510","1.350","1.630","1.350","16.15%"
"03/16/2023","1.300","1.340","1.580","1.200","-10.96%"
"03/15/2023","1.460","1.780","1.870","1.310","-5.19%"
"03/14/2023","1.540","1.900","1.900","1.480","-10.98%"
"03/13/2023","1.730","1.960","2.230","1.510","-11.73%"
"03/12/2023","1.960","2.030","2.060","1.960","0.00%"
"03/11/2023","1.960","2.060","2.060","1.960","0.00%"
"03/10/2023","1.960","2.070","2.190","1.960","-2.97%"
"03/09/2023","2.020","2.080","2.090","1.970","0.50%"
"03/08/2023","2.010","2.030","2.080","1.920","3.61%"
"03/07/2023","1.940","2.030","2.040","1.650","5.43%"
"03/06/2023","1.840","1.760","1.970","1.630","12.20%"
"03/05/2023","1.640","1.630","1.760","1.630","0.61%"
"03/04/2023","1.630","1.760","1.760","1.630","-1.21%"
"03/03/2023","1.650","1.760","1.810","1.610","2.48%"
"03/02/2023","1.610","1.730","1.850","1.610","0.00%"
"03/01/2023","1.610","1.690","1.730","1.610","-4.73%"
"02/28/2023","1.690","1.680","1.700","1.570","6.96%"
"02/27/2023","1.580","1.680","1.720","1.560","-2.47%"
"02/26/2023","1.620","1.560","1.680","1.560","3.85%"
"02/24/2023","1.560","1.670","1.680","1.530","0.00%"
"02/23/2023","1.560","1.580","1.610","1.540","1.30%"
"02/22/2023","1.540","1.650","1.680","1.540","0.00%"
"02/21/2023","1.540","1.640","1.650","1.520","1.32%"
"02/20/2023","1.520","1.680","1.680","1.520","-0.65%"
"02/19/2023","1.530","1.550","1.670","1.530","-2.55%"
"02/18/2023","1.570","1.680","1.680","1.570","1.29%"
"02/17/2023","1.550","1.620","1.680","1.500","1.97%"
"02/16/2023","1.520","1.660","1.660","1.510","0.66%"
"02/15/2023","1.510","1.620","1.660","1.500","0.00%"
"02/14/2023","1.510","1.600","1.620","1.480","2.03%"
"02/13/2023","1.480","1.540","1.610","1.480","0.00%"
"02/12/2023","1.480","1.490","1.580","1.480","-1.33%"
"02/10/2023","1.500","1.520","1.580","1.460","1.35%"
"02/09/2023","1.480","1.540","1.600","1.470","-1.33%"
"02/08/2023","1.500","1.510","1.560","1.450","2.74%"
"02/07/2023","1.460","1.490","1.570","1.440","1.39%"
"02/06/2023","1.440","1.440","1.520","1.410","-3.36%"
"02/05/2023","1.490","1.420","1.490","1.420","4.93%"
"02/04/2023","1.420","1.420","1.420","1.420","0.00%"
"02/03/2023","1.420","1.440","1.490","1.390","0.00%"
"02/02/2023","1.420","1.480","1.540","1.380","0.00%"
"02/01/2023","1.420","1.490","1.570","1.420","-2.07%"
"01/31/2023","1.450","1.420","1.560","1.420","1.40%"
