"Date","Price","Open","High","Low","Change %"
"11/18/2022","0.320","0.350","0.370","0.040","0.00%"
"11/17/2022","0.320","0.330","0.350","0.320","220.00%"
"11/16/2022","0.100","0.350","0.350","0.070","-68.75%"
"11/15/2022","0.320","0.070","0.350","0.070","357.14%"
"11/14/2022","0.070","0.140","0.230","0.010","-50.00%"
"11/13/2022","0.140","0.140","0.140","0.140","-57.58%"
"11/11/2022","0.330","0.070","0.330","0.070","371.43%"
"11/10/2022","0.070","0.050","0.230","0.030","40.00%"
"11/09/2022","0.050","0.080","0.110","0.010","-350.00%"
"11/08/2022","-0.020","0.050","0.050","-0.080","-50.00%"
"11/07/2022","-0.040","0.050","0.070","-0.090","-180.00%"
"11/06/2022","0.050","0.050","0.050","0.050","-266.67%"
"11/04/2022","-0.030","0.050","0.100","-0.050","-175.00%"
"11/03/2022","0.040","0.050","0.110","-0.010","0.00%"
"11/02/2022","0.040","0.050","0.110","-0.030","100.00%"
"11/01/2022","0.020","0.050","0.050","-0.060","-60.00%"
"10/31/2022","0.050","0.050","0.100","-0.040","0.00%"
"10/30/2022","0.050","0.050","0.050","0.050","0.00%"
"10/28/2022","0.050","0.090","0.170","0.020","-61.54%"
"10/27/2022","0.130","0.090","0.220","0.030","30.00%"
"10/26/2022","0.100","0.090","0.200","0.030","11.11%"
"10/25/2022","0.090","0.090","0.180","0.060","0.00%"
"10/24/2022","0.090","0.080","0.130","0.020","12.50%"
"10/23/2022","0.080","0.080","0.080","0.080","0.00%"
"10/22/2022","0.080","0.080","0.080","0.080","-75.76%"
"10/21/2022","0.330","0.330","0.330","0.330","32.00%"
"10/20/2022","0.250","0.330","0.330","0.220","-24.24%"
"10/19/2022","0.330","0.150","0.330","0.110","153.85%"
"10/18/2022","0.130","0.090","0.200","0.010","0.00%"
"10/17/2022","0.130","0.090","0.250","0.010","44.44%"
"10/16/2022","0.090","0.090","0.090","0.090","0.00%"
"10/15/2022","0.090","0.090","0.090","0.090","80.00%"
"10/14/2022","0.050","0.090","0.110","0.020","-44.44%"
"10/13/2022","0.090","0.310","0.320","0.070","-70.97%"
"10/12/2022","0.310","0.300","0.310","0.220","-3.12%"
"10/11/2022","0.320","0.300","0.330","0.230","6.67%"
"10/10/2022","0.300","0.090","0.300","0.090","233.33%"
"10/09/2022","0.090","0.140","0.140","0.090","0.00%"
"10/08/2022","0.090","0.140","0.140","0.090","-70.00%"
"10/07/2022","0.300","-0.240","0.300","-0.250","-236.36%"
"10/06/2022","-0.220","-0.150","-0.150","-0.220","214.29%"
"10/05/2022","-0.070","0.090","0.090","-0.070","-177.78%"
"10/04/2022","0.090","0.100","0.100","0.010","-67.86%"
"10/03/2022","0.280","0.290","0.300","0.280","-6.67%"
"10/02/2022","0.300","0.300","0.300","0.300","0.00%"
"10/01/2022","0.300","0.300","0.300","0.300","7.14%"
"09/30/2022","0.280","0.300","0.300","0.250","12.00%"
"09/29/2022","0.250","0.300","0.410","0.190","0.00%"
"09/28/2022","0.250","0.300","0.350","0.200","-24.24%"
"09/27/2022","0.330","0.300","0.470","0.220","10.00%"
"09/26/2022","0.300","0.090","0.350","0.030","36.36%"
"09/25/2022","0.220","0.220","0.220","0.220","-26.67%"
"09/23/2022","0.300","0.350","0.350","0.290","-30.23%"
"09/22/2022","0.430","0.280","0.530","0.190","30.30%"
"09/21/2022","0.330","0.280","0.760","0.240","-8.33%"
"09/20/2022","0.360","0.280","0.410","0.260","50.00%"
"09/19/2022","0.240","0.300","0.330","0.240","0.00%"
"09/18/2022","0.240","0.240","0.240","0.240","0.00%"
"09/17/2022","0.240","0.240","0.240","0.240","-14.29%"
"09/16/2022","0.280","0.200","0.400","0.200","0.00%"
"09/15/2022","0.280","0.300","0.380","0.090","21.74%"
"09/14/2022","0.230","0.260","0.300","0.150","-11.54%"
"09/13/2022","0.260","0.120","0.330","0.120","0.00%"
"09/12/2022","0.260","0.110","0.260","0.090","116.67%"
"09/11/2022","0.120","0.120","0.120","0.120","0.00%"
"09/10/2022","0.120","0.120","0.120","0.120","-50.00%"
"09/09/2022","0.240","0.120","0.240","0.090","71.43%"
"09/08/2022","0.140","-0.040","0.180","-0.100","-800.00%"
"09/07/2022","-0.020","-0.120","0.050","-0.120","-166.67%"
"09/06/2022","0.030","-0.120","0.050","-0.120","-125.00%"
"09/05/2022","-0.120","-0.100","-0.030","-0.140","0.00%"
"09/04/2022","-0.120","-0.140","-0.120","-0.140","0.00%"
"09/03/2022","-0.120","-0.140","-0.120","-0.140","-7.69%"
"09/02/2022","-0.130","-0.040","0.050","-0.190","85.71%"
"09/01/2022","-0.070","-0.130","-0.010","-0.190","-46.15%"
"08/31/2022","-0.130","-0.110","-0.040","-0.280","160.00%"
"08/30/2022","-0.050","-0.140","-0.010","-0.260","-58.33%"
"08/29/2022","-0.120","-0.230","-0.050","-0.270","-53.85%"
"08/26/2022","-0.260","-0.160","-0.080","-0.320","-27.78%"
"08/25/2022","-0.360","-0.210","-0.170","-0.390","0.00%"
"08/24/2022","-0.360","-0.330","-0.210","-0.360","9.09%"
"08/23/2022","-0.330","-0.290","-0.290","-0.360","-2.94%"
"08/22/2022","-0.340","-0.270","-0.210","-0.370","25.93%"
"08/21/2022","-0.270","-0.210","-0.210","-0.270","0.00%"
"08/20/2022","-0.270","-0.270","-0.270","-0.270","0.00%"
"08/19/2022","-0.270","-0.250","-0.210","-0.370","-15.62%"
"08/18/2022","-0.320","-0.330","-0.210","-0.410","0.00%"
"08/17/2022","-0.320","-0.350","-0.260","-0.350","-11.11%"
"08/16/2022","-0.360","-0.210","-0.210","-0.370","-2.70%"
"08/15/2022","-0.370","-0.310","-0.210","-0.390","32.14%"
"08/14/2022","-0.280","-0.210","-0.210","-0.280","0.00%"
"08/13/2022","-0.280","-0.280","-0.280","-0.280","-20.00%"
"08/12/2022","-0.350","-0.280","-0.210","-0.400","-2.78%"
"08/11/2022","-0.360","-0.350","-0.240","-0.390","0.00%"
"08/10/2022","-0.360","-0.340","-0.260","-0.370","0.00%"
"08/09/2022","-0.360","-0.340","-0.210","-0.370","2.86%"
"08/08/2022","-0.350","-0.300","-0.210","-0.360","25.00%"
"08/07/2022","-0.280","-0.210","-0.210","-0.280","0.00%"
"08/06/2022","-0.280","-0.280","-0.280","-0.280","0.00%"
"08/05/2022","-0.280","-0.210","-0.210","-0.360","-17.65%"
"08/04/2022","-0.340","-0.210","-0.210","-0.340","-2.86%"
"08/03/2022","-0.350","-0.210","-0.210","-0.350","66.67%"
"08/02/2022","-0.210","-0.220","-0.210","-0.310","-12.50%"
"08/01/2022","-0.240","-0.220","-0.220","-0.300","9.09%"
"07/31/2022","-0.220","-0.220","-0.220","-0.220","-12.00%"
"07/29/2022","-0.250","-0.220","-0.220","-0.300","-3.85%"
"07/28/2022","-0.260","-0.220","-0.220","-0.300","4.00%"
"07/27/2022","-0.250","-0.240","-0.220","-0.300","-3.85%"
"07/26/2022","-0.260","-0.240","-0.240","-0.300","0.00%"
"07/25/2022","-0.260","-0.240","-0.240","-0.260","8.33%"
"07/23/2022","-0.240","-0.240","-0.240","-0.240","-7.69%"
"07/22/2022","-0.260","-0.240","-0.240","-0.260","4.00%"
"07/21/2022","-0.250","-0.240","-0.240","-0.260","0.00%"
"07/20/2022","-0.250","-0.240","-0.240","-0.260","-3.85%"
"07/19/2022","-0.260","-0.240","-0.240","-0.260","4.00%"
"07/18/2022","-0.250","-0.240","-0.240","-0.400","4.17%"
"07/17/2022","-0.240","-0.240","-0.240","-0.240","0.00%"
"07/16/2022","-0.240","-0.240","-0.240","-0.240","-7.69%"
"07/15/2022","-0.260","-0.240","-0.240","-0.260","0.00%"
"07/14/2022","-0.260","-0.240","-0.240","-0.260","0.00%"
"07/13/2022","-0.260","-0.240","-0.240","-0.260","0.00%"
"07/12/2022","-0.260","-0.240","-0.240","-0.260","4.00%"
"07/11/2022","-0.250","-0.240","-0.240","-0.260","-28.57%"
"07/10/2022","-0.350","-0.350","-0.350","-0.350","45.83%"
"07/09/2022","-0.240","-0.240","-0.240","-0.240","-7.69%"
"07/08/2022","-0.260","-0.240","-0.240","-0.260","4.00%"
"07/07/2022","-0.250","-0.240","-0.240","-0.260","4.17%"
